isco08,isco_name,feor_08,feor_08_name
2221,Diplomás ápolók,2231,Ápoló (felsőfokú képzettséghez kapcsolódó)
2222,Szülésznők,2232,Szülész(nő) (felsőfokú képzettséghez kapcsolódó)
2230,Hagyományos és alternatív gyógyítók,2228,Alternatív gyógymódot alkalmazó
2240,Paramedicinális foglalkozások,,
2250,Állatorvosok,2241,Állatorvos
2261,Fogorvosok,2213,"Fogorvos, fogszakorvos"
2262,Gyógyszerészek,2214,"Gyógyszerész, szakgyógyszerész"
2263,"Környezet-, foglalkozás-egészségügyi és higiénés foglalkozásúak",2221,Környezet- és foglalkozás-egészségügyi foglalkozású
2264,Fizioterapeuták,2224,Gyógytornász
2265,Dietetikusok és táplálkozás-szakértők,2223,Dietetikus és táplálkozási tanácsadó
2266,Audiológusok és beszédterapeuták,2227,Hallás- és beszédterapeuta
2267,Optometristák,2222,Optometrista
2269,Máshová nem sorolható egészségügyi foglalkozásúak,2229,Egyéb humán-egészségügyi (társ)foglalkozású
2310,Egyetemek és egyéb felsőoktatási intézmények oktatói,2410,"Egyetemi, főiskolai oktató, tanár"
2320,Szakoktatók,2422,"Középfokú nevelési-oktatási intézményi szakoktató, gyakorlati oktató"
2330,Középiskolai tanárok,2421,Középiskolai tanár
2341,Általános iskolai tanárok,2431,"Általános iskolai tanár, tanító"
2342,Óvodapedagógusok,2432,"Csecsemő- és kisgyermeknevelő, óvodapedagógus"
2351,Oktatás-módszertani foglalkozásúak,2491,"Pedagógiai szakértő, szaktanácsadó"
2352,Gyógypedagógusok,2441,Gyógypedagógus
2352,Gyógypedagógusok,2442,Konduktor
2353,Egyéb nyelvtanárok,2492,Nyelvtanár (iskolarendszeren kívül)
2354,Egyéb zenetanárok,2493,Zenetanár (iskolarendszeren kívül)
2355,Egyéb művészeti oktatók,2494,Egyéb művészetek tanára (iskolarendszeren kívül)
2356,Információs technológiák oktatói,2495,Informatikatanár (iskolarendszeren kívül)
2359,Máshová nem sorolható oktatási foglalkozásúak,2499,"Egyéb szakképzett oktató, nevelő"
2411,Könyvelők és könyvvizsgálók,2512,"Adótanácsadó, adószakértő"
2411,Könyvelők és könyvvizsgálók,2513,"Könyvvizsgáló, könyvelő, könyvszakértő"
2411,Könyvelők és könyvvizsgálók,2514,Kontroller
2412,Pénzügyi és befektetési tanácsadók,2511,Pénzügyi elemző és befektetési tanácsadó
2413,Pénzügyi elemzők,2511,Pénzügyi elemző és befektetési tanácsadó
2421,Vezetési tanácsadók és szervezeti elemzők,2521,"Szervezetirányítási elemző, szervező"
2422,"Stratégiai fejlesztők, elemzők",2522,"Üzletpolitikai elemző, szervező"
2423,Személyzeti szakemberek és karrier-tanácsadók,2523,Személyzeti és pályaválasztási szakértő
